label,variant_a,variant_b,auc_a,auc_b,delta,p_value,p_value_adj,p_value_delong,ci_low,ci_high,n_pos,n_neg
label_5,hybrid_12,physics_12,0.5294004248957431,0.5280116452907389,0.0013887796050042756,0.0,0.0,nan,0.0005061916823783458,0.003553532204747226,142,1790
label_6,classifier_true_12,baseline_12,0.42472703345849966,0.4207741514166556,0.003952882041844075,0.8,0.0,nan,-0.0073356307891841045,0.010816523403824309,111,1821
label_6,classifier_true_12,hybrid_12,0.42472703345849966,0.4231364807971068,0.0015905526613928522,1.0,0.0,nan,-0.009348584163134511,0.008335456599039049,111,1821
label_6,classifier_true_12,physics_12,0.42472703345849966,0.4207741514166556,0.003952882041844075,0.8,0.0,nan,-0.0073356307891841045,0.010816523403824309,111,1821
label_6,baseline_12,hybrid_12,0.4207741514166556,0.4231364807971068,-0.0023623293804512224,0.0,0.0,nan,-0.003843345472193184,-0.0013414787543640683,111,1821
label_6,baseline_12,physics_12,0.4207741514166556,0.4207741514166556,0.0,0.0,0.0,nan,0.0,0.0,111,1821
label_6,hybrid_12,physics_12,0.4231364807971068,0.4207741514166556,0.0023623293804512224,0.0,0.0,nan,0.0013414787543640685,0.003843345472193184,111,1821
label_7,classifier_true_12,baseline_12,0.47217132754741237,0.4642531876138434,0.00791813993356899,0.8,0.0,nan,-0.009774121926251714,0.022729695150618227,102,1830
label_7,classifier_true_12,hybrid_12,0.47217132754741237,0.4649603557269903,0.007210971820422074,0.6,0.0,nan,-0.006193868979662403,0.019126149797320597,102,1830
label_7,classifier_true_12,physics_12,0.47217132754741237,0.4642531876138434,0.00791813993356899,0.8,0.0,nan,-0.009774121926251714,0.022729695150618227,102,1830
label_7,baseline_12,hybrid_12,0.4642531876138434,0.4649603557269903,-0.0007071681131469165,0.6,0.0,nan,-0.003743886562225497,0.0036105156038134037,102,1830
label_7,baseline_12,physics_12,0.4642531876138434,0.4642531876138434,0.0,0.0,0.0,nan,0.0,0.0,102,1830
label_7,hybrid_12,physics_12,0.4649603557269903,0.4642531876138434,0.0007071681131469165,0.6,0.0,nan,-0.0036105156038134024,0.003743886562225497,102,1830
label_8,classifier_true_12,baseline_12,0.4817543428815333,0.47415612739508967,0.007598215486443627,0.0,0.0,nan,0.0012930598757859304,0.017270205261933923,93,1839
label_8,classifier_true_12,hybrid_12,0.4817543428815333,0.4718260859396469,0.009928256941886371,0.0,0.0,nan,0.004306468217333777,0.018594235862210717,93,1839
label_8,classifier_true_12,physics_12,0.4817543428815333,0.47415612739508967,0.007598215486443627,0.0,0.0,nan,0.0012930598757859304,0.017270205261933923,93,1839
label_8,baseline_12,hybrid_12,0.47415612739508967,0.4718260859396469,0.002330041455442744,0.0,0.0,nan,0.0005041558797475046,0.003953724742479911,93,1839
label_8,baseline_12,physics_12,0.47415612739508967,0.47415612739508967,0.0,0.0,0.0,nan,0.0,0.0,93,1839
label_8,hybrid_12,physics_12,0.4718260859396469,0.47415612739508967,-0.002330041455442744,0.0,0.0,nan,-0.003953724742479911,-0.0005041558797475045,93,1839
label_9,classifier_true_12,baseline_12,0.5409459849202753,0.5268633348440526,0.01408265007622278,0.0,0.0,nan,0.005539709905371398,0.03727210557152484,65,1867
label_9,classifier_true_12,hybrid_12,0.5409459849202753,0.5236784640105475,0.01726752090972783,0.0,0.0,nan,0.005760047664525897,0.042509269030881786,65,1867
label_9,classifier_true_12,physics_12,0.5409459849202753,0.5268633348440526,0.01408265007622278,0.0,0.0,nan,0.005539709905371398,0.03727210557152484,65,1867
label_9,baseline_12,hybrid_12,0.5268633348440526,0.5236784640105475,0.003184870833505049,0.2,0.0,nan,-0.0010152806862290475,0.007306043181768803,65,1867
label_9,baseline_12,physics_12,0.5268633348440526,0.5268633348440526,0.0,0.0,0.0,nan,0.0,0.0,65,1867
label_9,hybrid_12,physics_12,0.5236784640105475,0.5268633348440526,-0.003184870833505049,0.2,0.0,nan,-0.007306043181768802,0.0010152806862290481,65,1867
label_10,classifier_true_12,baseline_12,0.4503501260453764,0.46681605377936053,-0.016465927733984143,0.0,0.0,nan,-0.035632891219483764,-0.007576227749618561,67,1865
label_10,classifier_true_12,hybrid_12,0.4503501260453764,0.4687327437877636,-0.018382617742387197,0.0,0.0,nan,-0.03534533375472052,-0.005146984685088107,67,1865
label_10,classifier_true_12,physics_12,0.4503501260453764,0.46681605377936053,-0.016465927733984143,0.0,0.0,nan,-0.035632891219483764,-0.007576227749618561,67,1865
label_10,baseline_12,hybrid_12,0.46681605377936053,0.4687327437877636,-0.0019166900084030547,0.8,0.0,nan,-0.006710255708129287,0.005587266438164549,67,1865
label_10,baseline_12,physics_12,0.46681605377936053,0.46681605377936053,0.0,0.0,0.0,nan,0.0,0.0,67,1865
label_10,hybrid_12,physics_12,0.4687327437877636,0.46681605377936053,0.0019166900084030547,0.8,0.0,nan,-0.0055872664381645485,0.006710255708129287,67,1865
label_11,classifier_true_12,baseline_12,0.5616893495423063,0.5777158909284642,-0.01602654138615789,0.0,0.0,nan,-0.033005625927183105,-0.0027088054791009858,55,1877
label_11,classifier_true_12,hybrid_12,0.5616893495423063,0.5758560565699617,-0.014166707027655434,0.0,0.0,nan,-0.030275362863949228,-0.001048010969630721,55,1877
label_11,classifier_true_12,physics_12,0.5616893495423063,0.5777158909284642,-0.01602654138615789,0.0,0.0,nan,-0.033005625927183105,-0.0027088054791009858,55,1877
label_11,baseline_12,hybrid_12,0.5777158909284642,0.5758560565699617,0.0018598343585024546,0.2,0.0,nan,-0.0006856816049948588,0.005015229980252049,55,1877
label_11,baseline_12,physics_12,0.5777158909284642,0.5777158909284642,0.0,0.0,0.0,nan,0.0,0.0,55,1877
label_11,hybrid_12,physics_12,0.5758560565699617,0.5777158909284642,-0.0018598343585024546,0.2,0.0,nan,-0.0050152299802520475,0.0006856816049948592,55,1877
label_12,classifier_true_12,baseline_12,0.4798194370685077,0.45354243662414506,0.026277000444362653,0.2,0.0,nan,-0.004848371904864937,0.04986877564798637,49,1883
label_12,classifier_true_12,hybrid_12,0.4798194370685077,0.4447852428278799,0.035034194240627814,0.2,0.0,nan,-0.000599287298515916,0.05729660594390187,49,1883
label_12,classifier_true_12,physics_12,0.4798194370685077,0.45354243662414506,0.026277000444362653,0.2,0.0,nan,-0.004848371904864937,0.04986877564798637,49,1883
label_12,baseline_12,hybrid_12,0.45354243662414506,0.4447852428278799,0.008757193796265161,0.0,0.0,nan,0.003351117871859968,0.010699259966198625,49,1883
label_12,baseline_12,physics_12,0.45354243662414506,0.45354243662414506,0.0,0.0,0.0,nan,0.0,0.0,49,1883
