label,variant,auc,ci_lower,ci_upper,n_pos,n_neg
label_9,classifier_true_12_2hr,0.5305673437435623,0.0,0.0,65,1867
label_9,baseline_12_2hr,0.5244860121132215,0.0,0.0,65,1867
label_9,hybrid_12_2hr,0.5341971900622142,0.0,0.0,65,1867
label_9,physics_12_2hr,0.5244860121132215,0.0,0.0,65,1867
label_10,classifier_true_12_2hr,0.47719979192509304,0.0,0.0,67,1865
label_10,baseline_12_2hr,0.5249049657876835,0.0,0.0,67,1865
label_10,hybrid_12_2hr,0.5366812052338843,0.0,0.0,67,1865
label_10,physics_12_2hr,0.5249049657876835,0.0,0.0,67,1865
label_11,classifier_true_12_2hr,0.5649731195815373,0.0,0.0,55,1877
label_11,baseline_12_2hr,0.5359132077299366,0.0,0.0,55,1877
label_11,hybrid_12_2hr,0.5469511309149029,0.0,0.0,55,1877
label_11,physics_12_2hr,0.5359132077299366,0.0,0.0,55,1877
label_12,classifier_true_12_2hr,0.5226191379366403,0.0,0.0,49,1883
label_12,baseline_12_2hr,0.5779151809422653,0.0,0.0,49,1883
label_12,hybrid_12_2hr,0.5753899010480454,0.0,0.0,49,1883
label_12,physics_12_2hr,0.5779151809422653,0.0,0.0,49,1883
label_13,classifier_true_12_2hr,0.5793800866949752,0.0,0.0,48,1884
label_13,baseline_12_2hr,0.5824321036801132,0.0,0.0,48,1884
label_13,hybrid_12_2hr,0.6034810686482661,0.0,0.0,48,1884
label_13,physics_12_2hr,0.5824321036801132,0.0,0.0,48,1884
label_14,classifier_true_12_2hr,0.610554152622281,0.0,0.0,49,1883
label_14,baseline_12_2hr,0.5335493730152708,0.0,0.0,49,1883
label_14,hybrid_12_2hr,0.5394832388611313,0.0,0.0,49,1883
label_14,physics_12_2hr,0.5335493730152708,0.0,0.0,49,1883
label_15,classifier_true_12_2hr,0.4847064751826657,0.0,0.0,42,1890
label_15,baseline_12_2hr,0.5801146384479718,0.0,0.0,42,1890
label_15,hybrid_12_2hr,0.5754283194759385,0.0,0.0,42,1890
label_15,physics_12_2hr,0.5801146384479718,0.0,0.0,42,1890
label_16,classifier_true_12_2hr,0.5854819362577548,0.0,0.0,41,1891
label_16,baseline_12_2hr,0.5709780603887478,0.0,0.0,41,1891
label_16,hybrid_12_2hr,0.5583250570739446,0.0,0.0,41,1891
label_16,physics_12_2hr,0.5709780603887478,0.0,0.0,41,1891
label_17,classifier_true_12_2hr,0.5142569225376796,0.0,0.0,30,1902
label_17,baseline_12_2hr,0.5126621100595863,0.0,0.0,30,1902
label_17,hybrid_12_2hr,0.5031545741324921,0.0,0.0,30,1902
label_17,physics_12_2hr,0.5126621100595863,0.0,0.0,30,1902
label_18,classifier_true_12_2hr,0.50255899318301,0.0,0.0,25,1907
label_18,baseline_12_2hr,0.3613738856843209,0.0,0.0,25,1907
label_18,hybrid_12_2hr,0.3792029365495543,0.0,0.0,25,1907
label_18,physics_12_2hr,0.3613738856843209,0.0,0.0,25,1907
label_19,classifier_true_12_2hr,0.4587729417933928,0.0,0.0,25,1907
label_19,baseline_12_2hr,0.394766649187205,0.0,0.0,25,1907
label_19,hybrid_12_2hr,0.39540639748295753,0.0,0.0,25,1907
label_19,physics_12_2hr,0.394766649187205,0.0,0.0,25,1907
label_20,classifier_true_12_2hr,0.5658924843423799,0.0,0.0,16,1916
label_20,baseline_12_2hr,0.6094402400835073,0.0,0.0,16,1916
label_20,hybrid_12_2hr,0.5900150052192066,0.0,0.0,16,1916
label_20,physics_12_2hr,0.6094402400835073,0.0,0.0,16,1916
label_21,classifier_true_12_2hr,0.5928687374473822,0.0,0.0,19,1913
label_21,baseline_12_2hr,0.6136132280518337,0.0,0.0,19,1913
label_21,hybrid_12_2hr,0.5925385864032795,0.0,0.0,19,1913
label_21,physics_12_2hr,0.6136132280518337,0.0,0.0,19,1913
label_22,classifier_true_12_2hr,0.5095739822546973,0.0,0.0,16,1916
label_22,baseline_12_2hr,0.5738680845511482,0.0,0.0,16,1916
label_22,hybrid_12_2hr,0.5638700417536534,0.0,0.0,16,1916
label_22,physics_12_2hr,0.5738680845511482,0.0,0.0,16,1916
label_23,classifier_true_12_2hr,0.5029386193705443,0.0,0.0,15,1917
label_23,baseline_12_2hr,0.4949226221526691,0.0,0.0,15,1917
label_23,hybrid_12_2hr,0.4793253347243958,0.0,0.0,15,1917
label_23,physics_12_2hr,0.4949226221526691,0.0,0.0,15,1917
label_24,classifier_true_12_2hr,0.5036246352326831,0.0,0.0,17,1915
label_24,baseline_12_2hr,0.40139763477192447,0.0,0.0,17,1915
label_24,hybrid_12_2hr,0.37797573337428964,0.0,0.0,17,1915
label_24,physics_12_2hr,0.40139763477192447,0.0,0.0,17,1915
label_25,classifier_true_12_2hr,0.5246198740592842,0.0,0.0,17,1915
label_25,baseline_12_2hr,0.5571187221624943,0.0,0.0,17,1915
label_25,hybrid_12_2hr,0.5225003839655966,0.0,0.0,17,1915
label_25,physics_12_2hr,0.5571187221624943,0.0,0.0,17,1915
label_26,classifier_true_12_2hr,0.5305647973704253,0.0,0.0,13,1919
