label,variant_a,variant_b,auc_a,auc_b,delta,p_value,p_value_adj,p_value_delong,ci_low,ci_high,n_pos,n_neg
label_4,classifier_true_12_2hr,physics_12_2hr,0.5315983120597056,0.5390998814256818,-0.007501569365976124,0.6,0.0,nan,-0.04045973105048476,0.010118738091856963,162,1770
label_4,baseline_12_2hr,hybrid_12_2hr,0.5390998814256818,0.5448524795982423,-0.005752598172560575,0.8,0.0,nan,-0.020633305292562888,0.020005692029425953,162,1770
label_4,baseline_12_2hr,physics_12_2hr,0.5390998814256818,0.5390998814256818,0.0,0.0,0.0,nan,0.0,0.0,162,1770
label_4,hybrid_12_2hr,physics_12_2hr,0.5448524795982423,0.5390998814256818,0.005752598172560575,0.8,0.0,nan,-0.020005692029425946,0.020633305292562888,162,1770
label_5,classifier_true_12_2hr,baseline_12_2hr,0.49908332677630024,0.47409119521598864,0.024992131560311603,0.0,0.0,nan,0.007361292575593491,0.0689169273368664,142,1790
label_5,classifier_true_12_2hr,hybrid_12_2hr,0.49908332677630024,0.4845699897710284,0.014513337005271854,0.2,0.0,nan,-0.0017338331087751735,0.060922807061744785,142,1790
label_5,classifier_true_12_2hr,physics_12_2hr,0.49908332677630024,0.47409119521598864,0.024992131560311603,0.0,0.0,nan,0.007361292575593491,0.0689169273368664,142,1790
label_5,baseline_12_2hr,hybrid_12_2hr,0.47409119521598864,0.4845699897710284,-0.01047879455503975,0.4,0.0,nan,-0.030729109543214516,0.010259743895821754,142,1790
label_5,baseline_12_2hr,physics_12_2hr,0.47409119521598864,0.47409119521598864,0.0,0.0,0.0,nan,0.0,0.0,142,1790
label_5,hybrid_12_2hr,physics_12_2hr,0.4845699897710284,0.47409119521598864,0.01047879455503975,0.4,0.0,nan,-0.01025974389582175,0.030729109543214523,142,1790
label_6,classifier_true_12_2hr,baseline_12_2hr,0.44844432570956455,0.47453384191440207,-0.026089516204837515,0.4,0.0,nan,-0.08130975418256624,0.026435958199869845,111,1821
label_6,classifier_true_12_2hr,hybrid_12_2hr,0.44844432570956455,0.46845115296515616,-0.020006827255591608,0.4,0.0,nan,-0.07572033209567547,0.022893833273511657,111,1821
label_6,classifier_true_12_2hr,physics_12_2hr,0.44844432570956455,0.47453384191440207,-0.026089516204837515,0.4,0.0,nan,-0.08130975418256624,0.026435958199869845,111,1821
label_6,baseline_12_2hr,hybrid_12_2hr,0.47453384191440207,0.46845115296515616,0.006082688949245907,0.6,0.0,nan,-0.010908988288867324,0.01606360216252861,111,1821
label_6,baseline_12_2hr,physics_12_2hr,0.47453384191440207,0.47453384191440207,0.0,0.0,0.0,nan,0.0,0.0,111,1821
label_6,hybrid_12_2hr,physics_12_2hr,0.46845115296515616,0.47453384191440207,-0.006082688949245907,0.6,0.0,nan,-0.01606360216252861,0.010908988288867326,111,1821
label_7,classifier_true_12_2hr,baseline_12_2hr,0.5294064073716919,0.49924193721204335,0.030164470159648515,0.4,0.0,nan,-0.016554938756494622,0.06701856637008645,102,1830
label_7,classifier_true_12_2hr,hybrid_12_2hr,0.5294064073716919,0.502643844423015,0.02676256294867685,0.6,0.0,nan,-0.036365087414450076,0.06810872335716679,102,1830
label_7,classifier_true_12_2hr,physics_12_2hr,0.5294064073716919,0.49924193721204335,0.030164470159648515,0.4,0.0,nan,-0.016554938756494622,0.06701856637008645,102,1830
label_7,baseline_12_2hr,hybrid_12_2hr,0.49924193721204335,0.502643844423015,-0.0034019072109716664,0.6,0.0,nan,-0.03036754591936114,0.008746724864842334,102,1830
label_7,baseline_12_2hr,physics_12_2hr,0.49924193721204335,0.49924193721204335,0.0,0.0,0.0,nan,0.0,0.0,102,1830
label_7,hybrid_12_2hr,physics_12_2hr,0.502643844423015,0.49924193721204335,0.0034019072109716664,0.6,0.0,nan,-0.008746724864842332,0.030367545919361142,102,1830
label_8,classifier_true_12_2hr,baseline_12_2hr,0.4904459529781847,0.5328047618212329,-0.04235880884304821,0.2,0.0,nan,-0.08036160998444078,0.0007225354193720806,93,1839
label_8,classifier_true_12_2hr,hybrid_12_2hr,0.4904459529781847,0.5221543966742093,-0.031708443696024546,1.0,0.0,nan,-0.06906908296982554,0.01175453123192545,93,1839
label_8,classifier_true_12_2hr,physics_12_2hr,0.4904459529781847,0.5328047618212329,-0.04235880884304821,0.2,0.0,nan,-0.08036160998444078,0.0007225354193720806,93,1839
label_8,baseline_12_2hr,hybrid_12_2hr,0.5328047618212329,0.5221543966742093,0.010650365147023666,0.2,0.0,nan,-0.0020072004965941913,0.026708134301494085,93,1839
label_8,baseline_12_2hr,physics_12_2hr,0.5328047618212329,0.5328047618212329,0.0,0.0,0.0,nan,0.0,0.0,93,1839
label_8,hybrid_12_2hr,physics_12_2hr,0.5221543966742093,0.5328047618212329,-0.010650365147023666,0.2,0.0,nan,-0.02670813430149408,0.0020072004965941926,93,1839
label_9,classifier_true_12_2hr,baseline_12_2hr,0.5305673437435623,0.5244860121132215,0.006081331630340747,0.8,0.0,nan,-0.06608173940471918,0.08006258209227506,65,1867
